dataset_name,len_dataset,mean_otsu,median_otsu,error_otsu,mean_mana,median_mana,error_mana,mean_mana_prime,median_mana_prime,error_mana_prime
X_train_10,7038,104.97115236372345,107.51894017607246,0,171.55342426825803,170.0,0,143.8130150610969,141.0,0
X_train_20,16859,114.09615763002209,116.74941171746498,0,172.20825671748028,171.0,0,143.33952191707692,142.0,0
X_train_40,28081,118.61166392868334,120.73519149851387,0,174.48922759161,172.0,0,151.00398846194935,143.0,0
